id,created_at,text
940234362351534080,2017-12-11 14:58:35,"b'@realDonaldTrump @nytimes what is true is the fact that Trump is undermining the FBI, DOJ and judiciary, the first\xe2\x80\xa6 https://t.co/MP8ErXs3Lp'"
940230127459299330,2017-12-11 14:41:45,b'@domhq__ @realDonaldTrump @nytimes Take America BACK Again! IMPEACH!'
940229617478025223,2017-12-11 14:39:44,b'@realDonaldTrump @nytimes well if you never watch CNN how would you this info? CNN just posted it on their site'
940205932822142976,2017-12-11 13:05:37,"b'@maggieNYT Why is the president of the US trying to undermine the democracy of his own country, bigger question is\xe2\x80\xa6 https://t.co/b1xWd8lfpB'"
940205088307494912,2017-12-11 13:02:15,"b'@alexburnsNYT @GDouglasJones @CoryBooker good luck Doug, let justice prevail!!'"
940204541781278725,2017-12-11 13:00:05,b'@ZekeJMiller all sexual abuse is relevant!!!'
940203595059806208,2017-12-11 12:56:19,"b""@brianstelter some in the senate and Trump and the RNC say it's up to ppl of Alabama to decide the vote of Moore. T\xe2\x80\xa6 https://t.co/FiN2iVmCq5"""
940079991617761282,2017-12-11 04:45:10,b'@NYMag BAHAHAHAHA!!!!!!!!!!!'
940079490440470528,2017-12-11 04:43:11,"b""@maggieNYT well,  he don't care, he has no soul."""
940078909676167169,2017-12-11 04:40:52,"b'@KFILE I think Fox should change their name to ""Bizarro Network""!  Cause  that was completely BIZZARO and off the c\xe2\x80\xa6 https://t.co/pR2Ro49GJc'"
940076129678901248,2017-12-11 04:29:49,"b'@realDonaldTrump the only stain I see, is on the republican party and WH for supporting a child molester. The taint\xe2\x80\xa6 https://t.co/LTGjwIzWGQ'"
940075313333014528,2017-12-11 04:26:35,"b""@realDonaldTrump @daveweigel @washingtonpost GEEZ you just gotta stick everybody don't ya,,,over the most stupidest\xe2\x80\xa6 https://t.co/HISqXDOO0h"""
940074296755372032,2017-12-11 04:22:32,b'@realDonaldTrump @CNN GEEZ you make it sound like they convicted the wrong person! It was the wrong date for crying\xe2\x80\xa6 https://t.co/dSDXco4rBo'
940073320434692096,2017-12-11 04:18:39,b'@realDonaldTrump Why is the President of the US trying to undermine the democracy of his own country????'
940069726289403906,2017-12-11 04:04:23,b'@RepAdamSchiff @POTUS How can a president be allowed to undermine his countries own democracy?'
940068627130171399,2017-12-11 04:00:00,"b""@MaxBoot Trump is off his rocker! Plays the blame game in every scenario no matter what it is. He's a very sick man\xe2\x80\xa6 https://t.co/qmEdKqoPVh"""
939708143797284864,2017-12-10 04:07:35,b'@realDonaldTrump WTH is US coming too?'
939707699985399808,2017-12-10 04:05:49,"b'@realDonaldTrump @daveweigel btw, only 1/2 the arena is filled to the rafters, the other 1/2 is not ..look at the p\xe2\x80\xa6 https://t.co/HYbdeF3AwR'"
939706194159067137,2017-12-10 03:59:50,"b'@realDonaldTrump @daveweigel @washingtonpost Yes he is clearly walking to podium I can see that in the pic too,,, w\xe2\x80\xa6 https://t.co/722fhlUijF'"
939703763903721472,2017-12-10 03:50:10,b'@realDonaldTrump @daveweigel you truly are obsessed with size.....does size really matter?'
939703471636279296,2017-12-10 03:49:01,b'@realDonaldTrump @daveweigel you should be fired ...ehmmm sexual abuse on 13 women!'
939702347147575296,2017-12-10 03:44:33,b'@RBReich The American ppl elected this lunatic as their president and they certainly are NOT doing anything about g\xe2\x80\xa6 https://t.co/ihpbzQosrO'
