id,created_at,text
940412638646951936,2017-12-12 02:46:59,b'Westbrook playing 1-5 horrible every possession he going. Melo no touches last 6 possessions'
940409113003089921,2017-12-12 02:32:59,b'It\xe2\x80\x99s wrong to get mad at people\xe2\x80\x99s opinions or views but some people got some sick evil minds and hearts. If you\xe2\x80\x99re\xe2\x80\xa6 https://t.co/IiBRPW1Is0'
940407691914203136,2017-12-12 02:27:20,b'True to the game Jarelle a hater Quadea a smooth intellect'
940404950680686593,2017-12-12 02:16:26,b'@DrTGIF Smh'
940404486132072449,2017-12-12 02:14:36,b'@DrTGIF Shame using her kids pain as advertisement not cool. She should never had posted that recording'
940403695266750469,2017-12-12 02:11:27,b'@jemelehill Every parent has to remind their kid that the bully gets bullied. And if your bulling your kid at home\xe2\x80\xa6 https://t.co/cqsAEtiILq'
940402995468165126,2017-12-12 02:08:40,b'To every parent in the universe i hope u can see my tweet please remind your kids that the bully always get bullied\xe2\x80\xa6 https://t.co/Qri1PKc6Nw'
940397169839833089,2017-12-12 01:45:31,b'RT @hoIyfag: rt if you\xe2\x80\x99re not furious https://t.co/c6YSMwoVCh'
940376205655773184,2017-12-12 00:22:13,"b""Sarah Sanders shuts down CNN star Jim Acosta's grandstanding\n\nhttps://t.co/cQxyx8WgeD\n\nShared from my Google feed"""
940369980511703041,2017-12-11 23:57:29,b'@GIAKAZE Air fryer the best cook my sweet potatoes nice and crispy no oil'
940363956849446912,2017-12-11 23:33:33,b'@plantbasedvibes @_darlyzabeth Official not expensive'
940363293025357824,2017-12-11 23:30:54,b'@Elvtd_Thghtz @plantbasedvibes Ezekiel bread official'
940362026521628674,2017-12-11 23:25:52,b'@_darlyzabeth @plantbasedvibes Sweet potato fries but in my air fryer with home made seracha sauce. Vegan mayo'
940359814617722880,2017-12-11 23:17:05,b'Watched CNN all day now NBA. Retirement life good but still young body still right after 20 yrs'
940358296678158336,2017-12-11 23:11:03,b'@filmcolours \xf0\x9f\x94\xa5\xf0\x9f\x8e\x82\xf0\x9f\x92\xaf'
940355845434507264,2017-12-11 23:01:19,b'@wmag @ashanti Exotic bod\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x92\xaf'
940352148101062656,2017-12-11 22:46:37,b'@doylenoir @GIAKAZE I remember this one skinny eczema looking kid he was cool but he use to crack on us our moms. I\xe2\x80\xa6 https://t.co/TxQpCLtw2M'
940351320275476480,2017-12-11 22:43:20,b'RT @SonnyJason2: @doylenoir Black excellence...\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf'
940351187148210176,2017-12-11 22:42:48,b'@doylenoir @GIAKAZE True true. Give it back have to be strong'
