id,created_at,text
940379846689132544,2017-12-12 00:36:41,b'@BarackObama Thank you for your robo calls in Alabama...Please keep it up...we can not have a pedophile sitting in\xe2\x80\xa6 https://t.co/8f6744zoFI'
940082299760123904,2017-12-11 04:54:20,b'@SenatorCollins You are a disgrace....you are just as bad as McConnell///shame on you caving into republican pressu\xe2\x80\xa6 https://t.co/gnDoOAP5z4'
940075240159305728,2017-12-11 04:26:17,b'@realDonaldTrump @USArmy @USNavy TOO BAD YOU ARE A CHICKEN WITH YOUR FAKE BONE SPURS...TOO SCARED TO GO TO VIET NAM\xe2\x80\xa6 https://t.co/SFQ8caYfab'
940074901016256514,2017-12-11 04:24:56,b'@realDonaldTrump @daveweigel @washingtonpost YOU APOLOGIZE TO AMERICA FOR YOUR FAKE PRESIDENCY&gt;&gt;&gt;YOU LOST THE POPUL\xe2\x80\xa6 https://t.co/NwsNshcktl'
940074610409611264,2017-12-11 04:23:47,b'@realDonaldTrump shut up you fat pos...loser'
940074521477791745,2017-12-11 04:23:26,b'@realDonaldTrump you are the biggest stain on America....you fat pos'
940074402867056641,2017-12-11 04:22:58,b'@realDonaldTrump you need to apologize to Americans for your fake presidency...you lost the popular vote fatso. you\xe2\x80\xa6 https://t.co/U1MHs4TpoE'
939664123352272897,2017-12-10 01:12:39,b'shut up..the only fake thing is you.;.YOU LOST YOU FAT MOLESTER MORON&gt;&gt;&gt;'
939663948097388544,2017-12-10 01:11:57,b'@realDonaldTrump @CNN shut up'
939663888215367686,2017-12-10 01:11:43,"b""@realDonaldTrump why don't you learn to read...everytime you make a speech you sound like a moron....which you are.\xe2\x80\xa6 https://t.co/9fbrm5KuXZ"""
939634043167166465,2017-12-09 23:13:08,"b'@BarackObama I urge you President Obama, to go to Alabama and campaign for Doug Jones..We cannot allow Roy Moore, a\xe2\x80\xa6 https://t.co/Ykh1qN2J96'"
938984696792301569,2017-12-08 04:12:51,b'@MeghanMcCain @TheView @ehasselbeck I tweeted you nice things and I am a liberal Meghan....'
936317612849598464,2017-11-30 19:34:49,b'@TheView Meghan McCain...I am listening to you...PS Signed a liberal who is interested in hearing all sides...People are listening'
936317144001892352,2017-11-30 19:32:57,b'@TheView @sunny Sunny...you were very rude (IMO) to Meghan McCain this morning...'
933767279120125954,2017-11-23 18:40:42,b'@realDonaldTrump MORON/MOLESTOR IN CHIEF...YOU STINK...LOSER...BIGLY LOSER'
933767166184316928,2017-11-23 18:40:15,b'@realDonaldTrump SHUT UP IVANKA...START GETTING YOUR HUSBAND FITTED FOR THE PRISON STRIPES HE WILL BE WEARING SOON.....'
933766969064677378,2017-11-23 18:39:28,b'@realDonaldTrump HOW MUCH IS THIS TRIP TO MAR A LAGO COSTING US TAXPAPERS YOU FAT F**K....YOU ARE USELESS'
933766474963013633,2017-11-23 18:37:30,b'@realDonaldTrump GROW UP YOU MORON&gt;&gt;&gt;&gt;MORE IMPT STUFF THAN THIS NONSENSE.....YOU ARE STILL THAT SPOILED 5 YEAR OLD BOY....SHUT UP ALREADY'
932454770840829952,2017-11-20 03:45:16,b'@MeghanMcCain love your voice of reason Meghan Mc Cain....'
932454340463349760,2017-11-20 03:43:33,"b""Meghan...Please, please please stay on the view...don't leave...I sometimes see your frustration with some of the o\xe2\x80\xa6 https://t.co/Tt9juuxuQ5"""
932436161766871041,2017-11-20 02:31:19,b'@realDonaldTrump start getting fitted for those prison uniforms you fat f**k....take your greasy haired son and idi\xe2\x80\xa6 https://t.co/gHSywyenMG'
932435900298121216,2017-11-20 02:30:17,b'@realDonaldTrump no moron in chief...if he or any sen votes no it is because the bill sucks for the average America\xe2\x80\xa6 https://t.co/hmQbuZ6V57'
932435664934666240,2017-11-20 02:29:20,b'@realDonaldTrump you are a moron...really grow up...'
931701404560961542,2017-11-18 01:51:39,b'@realDonaldTrump all you and your repub pals want to do is tax the poor and middle class...you fat f**k moron'
931701202609373184,2017-11-18 01:50:51,b'@realDonaldTrump you molestor in chief...at least he apologized...you pig...never apologized for those disgusting c\xe2\x80\xa6 https://t.co/TOTmhSo7KR'
931700795057344512,2017-11-18 01:49:14,b'@realDonaldTrump You fat f**k...so your dickhead sons can hunt......moron &amp; molestor in chief...'
931393164136665088,2017-11-17 05:26:49,b'@realDonaldTrump you filthy disgusting pig....you are the epitome of sexual assaulter...you slime bucket. how dare\xe2\x80\xa6 https://t.co/F09RmBvK09'
