id,created_at,text
940074939939307520,2017-12-11 04:25:06,b'@realDonaldTrump @POTUS  https://t.co/5WjJbMGbZp'
939936318255009792,2017-12-10 19:14:16,"b'RT @sir_barton: #NetNeutrality is not dead yet! Congress can still #StopTheFCC, but only if we make them. I signed up to #BreakTheInternet\xe2\x80\xa6'"
939899339924582400,2017-12-10 16:47:19,"b'I honestly didn\xe2\x80\x99t need this article to tell me what I already know, but here ya go. \nhttps://t.co/fcLdN4BaWY'"
939882849246650369,2017-12-10 15:41:48,"b""RT @Freeyourmindkid: Retweet if you don't think that this shirt is racist \n\n.https://t.co/IrGjEIBKJr"""
939867542570524672,2017-12-10 14:40:58,"b'RT @trailblazers: Your mom, dad, brother and sister hung up on us.\n\nWe\xe2\x80\x99ll call back on Monday. https://t.co/6NpwT5I3Hu'"
939630475265503232,2017-12-09 22:58:57,"b'RT @KrangTNelson: POPULAR MECHANICS 1985: flying cars - they\xe2\x80\x99re just around the corner!\n\nPOPULAR MECHANICS, 1996: flying cars - they\xe2\x80\x99re so\xe2\x80\xa6'"
939394656604889088,2017-12-09 07:21:53,"b'If those horses are true patriots, they will buck those assholes off in the dirt. https://t.co/JbLSKrjwu4'"
939387106673147906,2017-12-09 06:51:53,"b'RT @TheDailySchmuck: ""I know he raped you, but what\'s really important is the senate seat."" https://t.co/ldqRf2zrPn'"
939386733577113600,2017-12-09 06:50:24,b'Fuck yeah! \xe2\x9c\x8a\xf0\x9f\x8f\xbc https://t.co/XXPzBWLLsq'
939385420457971712,2017-12-09 06:45:11,b'RT @sethmoulton: I\xe2\x80\x99d rather be in a foxhole with the brave trans men and women already serving overseas than in Congress with a pedophile.\xe2\x80\xa6'
939330340576882688,2017-12-09 03:06:19,b'@Wolfe321 @people  https://t.co/hVh0XvHGRB'
939306935710466048,2017-12-09 01:33:19,"b'This breaks my fucking heart to pieces, for real. \xf0\x9f\x92\x94 https://t.co/yBMccVBRe3'"
939306321307766784,2017-12-09 01:30:53,"b'For the record, this is the first time I have retweeted myself. https://t.co/csznNJHFLC'"
939303925408133120,2017-12-09 01:21:21,b'@VenJENz1 Thank you!'
939302738936020992,2017-12-09 01:16:39,b'Fucking GROSS #GOP #MAGA #pedophiles2020 https://t.co/CH5dTucbbu'
939302056417882113,2017-12-09 01:13:56,b'You are a disgusting excuse for a human being. Your kind will  be decrepit and dying off soon enough. Nobody needs\xe2\x80\xa6 https://t.co/0fyxU72nDJ'
939301846069342208,2017-12-09 01:13:06,b'@SteveKingIA You are a disgusting excuse for a human being. Your kind will  be decrepit and dying off soon enough.\xe2\x80\xa6 https://t.co/9MUNagkRod'
939294150830178304,2017-12-09 00:42:31,b'RT @JimMFelton: Did I miss something? Did gay people kill millions of straight bakers whilst I wasn\xe2\x80\x99t paying attention? https://t.co/XjvXqK\xe2\x80\xa6'
939261925505900544,2017-12-08 22:34:28,"b'@TheDailySchmuck Sadly, accurate \xf0\x9f\x98\x90'"
939261845071740928,2017-12-08 22:34:09,"b""RT @TheDailySchmuck: I think it's racist that John Lewis would refuse to come down here to Mississippi and honor the Civil Rights greats li\xe2\x80\xa6"""
939261619791470592,2017-12-08 22:33:15,"b""RT @krassenstein: About Gloria Allred:\n\n- The signature was NOT forged\n- She put a date &amp; location under the signature. That's it!!\n- Moore\xe2\x80\xa6"""
939261557862670336,2017-12-08 22:33:00,b'\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/6jZCYd3Z3z'
939261245982568448,2017-12-08 22:31:46,b'LA face with an Oakland booty? \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc https://t.co/iEsxBYNQ8k'
939261053354983425,2017-12-08 22:31:00,"b'@Arrogant_Twat Right?!? I feel so dirty, but vindicated all at once. \xf0\x9f\x98\xac'"
939260269187948545,2017-12-08 22:27:53,b'Fuck Steve Bannon indeed! \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc https://t.co/g8tPPuJuQH'
939260071183183877,2017-12-08 22:27:06,b'This. https://t.co/fOxF2oFzFX'
939142567987257349,2017-12-08 14:40:11,b'Thread... https://t.co/U3VNo3mKoB'
938985152742490117,2017-12-08 04:14:40,b'RT @iamjermainew: things are spiraling fast https://t.co/g4yyOI9Fng'
938796865516068864,2017-12-07 15:46:29,b'RT @nowthisnews: President Trump\xe2\x80\x99s speech was significantly slurred during this Israel announcement at the White House https://t.co/6QoqXF0\xe2\x80\xa6'
938796591925702657,2017-12-07 15:45:24,b'RT @kashanacauley: Sometimes they call you the Secretary of the Interior because you\xe2\x80\x99re not good at being outside. https://t.co/WKi4M9l0NH'
937685032331722752,2017-12-04 14:08:27,b'The fuck with this shit? https://t.co/hOfLDb5owQ'
937096580426903552,2017-12-02 23:10:09,"b'RT @cbpolis: ""I did try &amp; fuck her. She was married. I moved on her like a bitch. She\xe2\x80\x99s now got the big phony tits and everything. I just s\xe2\x80\xa6'"
936995658011000832,2017-12-02 16:29:08,"b'I will admit that being fully woke about our world today, basically makes you furious all the damn time about one t\xe2\x80\xa6 https://t.co/TZE2gPYdtl'"
