id,created_at,text
940072491413782529,2017-12-11 04:15:22,b'@realDonaldTrump @daveweigel @washingtonpost the fake president needs to get a life. Sad!'
938915560259284994,2017-12-07 23:38:08,"b""RT @urbaninsideout: If I lived in or visited Pittsfield, I'd want my child to have the opprtunity to see these toys by #AlexanderCalder , b\xe2\x80\xa6"""
938915188761419782,2017-12-07 23:36:39,b'@ALT_uscis #Dotard'
938914664188207104,2017-12-07 23:34:34,b'NOOOOOOO!! Franken Says He Will Resign After Pressure From Party via @NYTimes #AlFranken  https://t.co/NQJHDOi8D6'
938867936403513344,2017-12-07 20:28:54,b'RT @Savageartist: I\xe2\x80\x99m so pleased and proud to be a part of MVOL! Looking forward to my visit and finding out from @NPS_Newark students what\xe2\x80\xa6'
938867909421514752,2017-12-07 20:28:47,"b'RT @Savageartist: Thank you Ms. Taps, kindergartners, and PA moms for a warm welcome to @PS196Q ! @Scholastic @ScholasticClub @mvolibrary @\xe2\x80\xa6'"
938863692577304576,2017-12-07 20:12:02,b'#alabama want to be the 1st state to knowingly elect a pedophile to the #senate ? Pls dont punish the rest of the country #senate #roymoore'
938085545787322368,2017-12-05 16:39:57,"b'RT @gloriousbeth: Along with supporting causes they outwardly claim to condemn, they are contributing to another danger I\xe2\x80\x99ve seen growing i\xe2\x80\xa6'"
938085524660568064,2017-12-05 16:39:52,b'RT @gloriousbeth: Same goes for those who claim to support LGBTQI+ rights and then attend churches that believe homosexuality is a sin. #Em\xe2\x80\xa6'
938085500769800192,2017-12-05 16:39:46,"b'RT @gloriousbeth: As an ex-evangelical, it peeves me to the end of peeves when conservative evangelicals call themselves \xe2\x80\x9cfeminist\xe2\x80\x9d and the\xe2\x80\xa6'"
938084746675945472,2017-12-05 16:36:47,b'RT @ShaunKing: Never forget this. Ever.\n\nThis isn\xe2\x80\x99t just Trump. The entire Republican Party has decided to hitch their wagon to a proven pe\xe2\x80\xa6'
938084652866142209,2017-12-05 16:36:24,b'RT @SallyQYates: The FBI is in \xe2\x80\x9ctatters\xe2\x80\x9d?  No.  The only thing in tatters is the President\xe2\x80\x99s respect for the rule of law. The dedicated men\xe2\x80\xa6'
936246626255032320,2017-11-30 14:52:44,b'The majority who voted for this moron will be the biggest losers if this passes #taxplan #trump #richgetricher #gop  https://t.co/Y5Fp3e57hJ'
935863427083456512,2017-11-29 13:30:03,b'Ann Curry must be lifting a glass  #mattlauer #sexualharrassment #zerotolerance #todayshow #paybacksabitch #anncurry #dontmesswiththeladies'
935861459099308032,2017-11-29 13:22:13,"b""RT @ShaunKing: I don't think our nation understands how dangerous Trump's tweets from this morning are. \n\nHe is literally retweeting random\xe2\x80\xa6"""
935744335320158209,2017-11-29 05:36:49,"b'RT @NYCACC: Cold weather is upon us, which means harsher living conditions for neighborhood strays. The people at Nifty show us a DIY Stray\xe2\x80\xa6'"
935743855076564992,2017-11-29 05:34:54,"b""RT @Savageartist: We're so glad the Big Apple Circus is back with an amazing line-up of acrobats, jugglers, trapeze artists, animal perform\xe2\x80\xa6"""
935743078182408193,2017-11-29 05:31:49,b'RT @Savageartist: I\xe2\x80\x99m over the moon about the news that Little Plane has soared to the top of Smithsonian\xe2\x80\x99s @airspacemag \xe2\x80\x9cbest of\xe2\x80\x9d list! @M\xe2\x80\xa6'
934990179609337856,2017-11-27 03:40:04,b'@SusanSarandon not that anyone cares what you think but you are way out of touch with reality. https://t.co/kZz6Fl4EII #warped #politics'
931151638361931776,2017-11-16 13:27:05,"b'RT @ClintSmithIII: I know I\xe2\x80\x99ve said it before, but with every passing day it becomes increasingly shameful that we\xe2\x80\x99ve allowed this man to s\xe2\x80\xa6'"
931150787861991424,2017-11-16 13:23:42,b'@davidfrum #desperation'
931150520147988486,2017-11-16 13:22:38,b'What\xe2\x80\x99s left to debate about #RoyMoore ?? He\xe2\x80\x99s a KNOWN #sexualpredator (banned from a mall!). #Christian hypocrisy #GOP #countryoverparty'
931149291099443200,2017-11-16 13:17:45,b'RT @SallyQYates: POTUS embraces Putin yet again telling world he believes former KGB agent\xe2\x80\x99s denial of attack on our election over our own\xe2\x80\xa6'
929366116954230785,2017-11-11 15:12:03,"b'RT @JoyAnnReid: Not sure which is more cringeworthy: Trump going off script, or Trump slooooowly staying on a script written by Stephen Mil\xe2\x80\xa6'"
929366065699749888,2017-11-11 15:11:51,b'RT @KeithOlbermann: The unnamed senior @RealDonaldTrump campaign adviser with whom George Papadopoulos was in contact about a Trump-Putin m\xe2\x80\xa6'
929196613549133824,2017-11-11 03:58:30,b'RT @ClintSmithIII: As you watch Manafort go back home after leaving court remember the half a million ppl sitting in jail bc they\xe2\x80\x99re too po\xe2\x80\xa6'
929195283581489154,2017-11-11 03:53:13,b'RT @SenGillibrand: The Republican tax plan will raise middle class taxes to pay for corporate welfare and giveaways to billionaires. \nhttps\xe2\x80\xa6'
929194345751810049,2017-11-11 03:49:30,"b'RT @NYDailyNews: ""I\'m automatically attracted to beautiful [women]\xe2\x80\x94I just start kissing them. It\'s like a magnet. Just kiss. I don\'t even w\xe2\x80\xa6'"
929194323656224768,2017-11-11 03:49:25,"b'RT @HillaryClinton: Grateful to you and your determined husband. Like I say in my book, I would have worked so hard to help, &amp; had specific\xe2\x80\xa6'"
921082318076424196,2017-10-19 18:35:12,b'RT @lacasadesonia: @PreetBharara  https://t.co/yldupaSfaG'
918312319838507008,2017-10-12 03:08:13,b'Brilliant.Thank you @Eminem #Eminem Rips #Trump In BET Hip Hop Awards https://t.co/taOMKU09vw #moronforprez #hiphop #freestyle #POTUS'
915059392550260741,2017-10-03 03:42:14,"b'RT @HillaryClinton: The crowd fled at the sound of gunshots. \n\nImagine the deaths if the shooter had a silencer, which the NRA wants to mak\xe2\x80\xa6'"
915059321960124416,2017-10-03 03:41:57,"b'@Calebkeeter Help us fight the NRA and their puppets, the GOP.'"
915059005084635137,2017-10-03 03:40:42,b'RT @Calebkeeter: https://t.co/0NFjHf3PW2'
911815108770304000,2017-09-24 04:50:37,"b""Way to go @StephenCurry30 don't waste your time with #Trump https://t.co/2PQ1R3E0e7 #worstprezever #resist #gop #potus"""
911440877603737610,2017-09-23 04:03:33,"b""It's called free speech, moron. #Trump calls #Kaepernick son of a b-----for kneeling in protest https://t.co/zg9sn8lFIw #loserprez #impeach"""
910351928395223040,2017-09-20 03:56:27,"b'RT @MMFlint: Trump\'s UN speech, shortened: ""We got the world\'s biggest war machine. What we don\'t use on N. Korea, we will parade down Penn\xe2\x80\xa6'"
910350465753378816,2017-09-20 03:50:39,"b""RT @TheOnion: Onion Fact Check: Trump's Speech To The UN General Assembly https://t.co/jO7fAqJX7X"""
910349541601398784,2017-09-20 03:46:58,"b""@chuckwoolery it's a love connection between you and the clown #2and2"""
909626375723737088,2017-09-18 03:53:22,"b""Courage to do what's right. Jesuit Priest Stands Up for Gay #Catholics, Then Faces Backlash #LGBTQ #progress  https://t.co/LXkJF8iZvz"""
905194672972333058,2017-09-05 22:23:22,b'RT @channel2kwgn: #Breaking: Students at Denver schools are walking out of classes in protest of #DACA announcement\nWATCH: https://t.co/fYK\xe2\x80\xa6'
902881681480323080,2017-08-30 13:12:22,b'RT @HillaryClinton: Correct. https://t.co/AcOXbigpzi'
902881072660275201,2017-08-30 13:09:57,"b""RT @Impeach_D_Trump: You Can't Make This Sh!t Up!\n\nhttps://t.co/BPJxRfooAU"""
902881040364179456,2017-08-30 13:09:49,b'RT @SenFranken: Presidential pardons should not be rewards for bad behavior and discrimination. Granting a pardon to Joe Arpaio is shameful\xe2\x80\xa6'
902879596873478144,2017-08-30 13:04:05,"b'RT @NickBossRoss: ... And on the third day, God opened his doors to those in need after being threatened with the loss of donations https:/\xe2\x80\xa6'"
902879446226567168,2017-08-30 13:03:29,"b'RT @billprady: Congratulations, Internet \xe2\x80\x94 you helped @JoelOsteen learn the teachings of Jesus. https://t.co/EeeIKqcRgm'"
896776086280908804,2017-08-13 16:50:54,"b""RT @Savageartist: I'll be at the Chappaqua Children\xe2\x80\x99s Book Festival on Oct. 14. https://t.co/85S5ue4Lzc @Jabbotage @KelseyMarrujo @stefanie\xe2\x80\xa6"""
896776020065472512,2017-08-13 16:50:39,b'RT @PreetBharara: Where is the voice of the Attorney General of the United States?'
896578280349978630,2017-08-13 03:44:54,"b'Proud of your dad, eh? @IvankaTrump @DonaldJTrumpJr 3 dead, 34 injured https://t.co/rxyvcEmQLS #moron #racist #callaspadeaspade #trump'"
889856674290380800,2017-07-25 14:35:38,b'WHY IS HE STILL TALKING ABOUT HILLARY?! Trump Steps Up Attacks on His Own Attorney General #trump #sessions #moron https://t.co/mtYEpwxqfu'
888627887422791680,2017-07-22 05:12:52,"b'Well said. ""The walls are closing in on President Trump"" https://t.co/9DfinPvv26 #trump #gop #incompetence #resist #potus'"
887879830259331072,2017-07-20 03:40:22,b'@nytimes Thanks!'
886297576798027777,2017-07-15 18:53:03,b'Who would even read her website?!Paltrow\xe2\x80\x99s Goop Issues a Rare Response to a Critic https://t.co/Ml8Tm3qmfn #gwynethpaltrow #goop #jadeeggs'
884420102657015809,2017-07-10 14:32:38,b'THANK YOU @VogueParis - #fauxfur IS fashionable! A big win for the #animals #crueltyfree #humanefashion #paris\xe2\x80\xa6 https://t.co/dr1yGV48FK'
881910643045150720,2017-07-03 16:20:57,b'@RaysCandyStore @TimeOutNewYork #best #softserve #icecream'
880727468923080706,2017-06-30 09:59:26,"b'RT @chrislhayes: Again, ten women came forward to say the president had grabbed/groped/assaulted them. The GOP shrugged and chanted ""Lock h\xe2\x80\xa6'"
