id,created_at,text
940427375023550464,2017-12-12 03:45:33,"b'RT @MaddowBlog: When it comes to Mike Pence there are only two options, and neither of them are the White House story. https://t.co/7I3xfxs\xe2\x80\xa6'"
940427096878223360,2017-12-12 03:44:26,"b""RT @MotherJones: Trump doesn't care about climate change. But a new study explains why the business community should. https://t.co/OK6zQddG\xe2\x80\xa6"""
940426993572626432,2017-12-12 03:44:02,b'RT @thehill: Founding fathers of the internet demand Congress stop FCC from repealing net neutrality https://t.co/DbPjQib0da https://t.co/y\xe2\x80\xa6'
940426373226676225,2017-12-12 03:41:34,"b'RT @fightfortheftr: If we \xe2\x80\x9cbreak\xe2\x80\x9d the internet tomorrow, we can stop Ajit Pai from breaking the Internet for real. Join in to save #NetNeut\xe2\x80\xa6'"
940426267320397824,2017-12-12 03:41:09,"b'RT @kira_lerner: In the 7 pm hour in Alabama \xe2\x80\x94 \n\nCharles Barkley at Jones rally: ""At some point, we\'ve got to stop looking like idiots to t\xe2\x80\xa6'"
940426223670329344,2017-12-12 03:40:58,"b'RT @taxmarch: Former American Airlines CEO, Bob Crandall, doesn\'t miss a beat: \n\n""The GOP tax bill is both mean and stupid,"" via @CNN: http\xe2\x80\xa6'"
940426050923667456,2017-12-12 03:40:17,"b""RT @StateoftheInter: @prsch3259 @EthanBearman Mueller has found the fire. I don't have all the details. No one does. But Mueller is figurin\xe2\x80\xa6"""
940425914915028992,2017-12-12 03:39:45,b'RT @thehill: CNN accuses Trump of online bullying after attack on Don Lemon https://t.co/2sDTdvQR6D https://t.co/u0zTBcqW8H'
940425599679479808,2017-12-12 03:38:29,"b""RT @joncoopertweets: Charles Barkley says Alabamians 'brainwashed' to support Roy Moore, will rally for Doug Jones\n#VoteDoug #VoteDougJones\xe2\x80\xa6"""
940425568016670720,2017-12-12 03:38:22,b'RT @tribelaw: This is the big danger at the moment: https://t.co/iR243LDaWC'
940424902422626305,2017-12-12 03:35:43,"b'RT @lesleyabravanel: When people like Mr and Mrs #RoyMoore refer to us as \xe2\x80\x9cJews\xe2\x80\x9d instead of \xe2\x80\x9cJewish people, it\xe2\x80\x99s chillingly reminiscent of\xe2\x80\xa6'"
940424848093757440,2017-12-12 03:35:30,"b'RT @JCTheResistance: Reminder #ALABAMA \n\nSenate still wants to kill the ACA,  which will cause 480,000 Alabamians to lose insurance. \n\n@GDo\xe2\x80\xa6'"
