id,created_at,text
940255815927201792,2017-12-11 16:23:50,b'@realDonaldTrump @nytimes Doing what you do best LYING DONNIE'
940056194143551489,2017-12-11 03:10:36,b'@Spaldin52943961 @pattysmattyvt @thebradfordfile @realDonaldTrump @PhilBryantMS Joe original Trump was kisser'
940056012530245632,2017-12-11 03:09:53,"b""@realDonaldTrump @PhilBryantMS You are not welcome by anybody bit the gov. You're an insult to the protectors of ci\xe2\x80\xa6 https://t.co/NZEGkf3sY5"""
940055432206336000,2017-12-11 03:07:35,b'@realDonaldTrump @daveweigel Liar'
940055290413596672,2017-12-11 03:07:01,b'@realDonaldTrump Bigot!!'
940054980907614210,2017-12-11 03:05:47,"b""@realDonaldTrump You are the stain you can't handle the truth"""
939239378198695936,2017-12-08 21:04:52,b'@AnnCoulter what liar   she added a date to remember when it happened   that is not forgery.....'
939234049532547072,2017-12-08 20:43:42,b'@realDonaldTrump Your destroying the environment..'
939233926010294272,2017-12-08 20:43:12,b'@Scavino45 @realDonaldTrump ugly ineffective and unnecessary and very costly to the taxpayers and money in Trumps greedy pockets.'
939233576444465152,2017-12-08 20:41:49,b'@realDonaldTrump @WhiteHouse United Schwsaches'
939233431011119105,2017-12-08 20:41:14,b'@ChuckGrassley @realDonaldTrump kiss his ass chuckle'
939233286915874816,2017-12-08 20:40:40,b'@realDonaldTrump @foxandfriends question will you read it to learn or is it a fack rehistorying'
939233074189144064,2017-12-08 20:39:49,b'@realDonaldTrump You disrespected them by your corny presence  and you will disrespect the museum in Mississippi even more     go away !!!'
939232866474569729,2017-12-08 20:39:00,b'@realDonaldTrump @FLOTUS @WhiteHouse are you sure you did not say Xmas.......'
939232720600825856,2017-12-08 20:38:25,b'@realDonaldTrump Losing Liar'
939232641039159297,2017-12-08 20:38:06,b'@realDonaldTrump No you need company with another sexual predator who can fondle with you and the pussies   Just cuz you can.....'
939232435946119169,2017-12-08 20:37:17,b'@realDonaldTrump Penalize yourself'
