id,created_at,text
940329255480713217,2017-12-11 21:15:39,"b'@PressSec when your boss says he\xe2\x80\x99ll release his taxes and doesn\xe2\x80\x99t, deliberately misleading! Your boss says drain th\xe2\x80\xa6 https://t.co/AkMuyNWIUs'"
940328014885240832,2017-12-11 21:10:43,b'@PressSec I guess if your daughter tells you they\xe2\x80\x99ve been sexually abused you\xe2\x80\x99d stand by the person who denies the\xe2\x80\xa6 https://t.co/O38wPsL7Ho'
940085436818395136,2017-12-11 05:06:48,"b'@realDonaldTrump @POTUS you\xe2\x80\x99re the devil straight from hell.  You fat ass, bad hair, tiny hands, pathetic crybaby!\xe2\x80\xa6 https://t.co/z82Luw3F0M'"
940082561451036672,2017-12-11 04:55:23,"b'@realDonaldTrump Sexual predators , one and all who support him.  That\xe2\x80\x99s includes you Donald J tRump.  Perverted pu\xe2\x80\xa6 https://t.co/mZIdhMMJS7'"
940081834993500160,2017-12-11 04:52:29,"b'@realDonaldTrump No, everyone does not know this is true.   The ignorant lambs you\xe2\x80\x99re leading to slaughter believe\xe2\x80\xa6 https://t.co/Mu2smOGdWt'"
939282293759254528,2017-12-08 23:55:24,b'@PressSec @POTUS Your boss is the devil and you\xe2\x80\x99re going to burn along with him.  The hatred of this administration\xe2\x80\xa6 https://t.co/6bCPxl812v'
939281779202015234,2017-12-08 23:53:21,b'@KellyannePolls @CNN @CNNPR @brianstelter @manuraju @DonaldJTrumpJr You people are demonic and manage to get all th\xe2\x80\xa6 https://t.co/iiqyJEMLux'
939281424863019008,2017-12-08 23:51:57,b'@realDonaldTrump Except that\xe2\x80\x99s not exactly the quote.  Ignorant idiot.'
939281225704906752,2017-12-08 23:51:09,b'@KellyannePolls Why is t the trump family bringing their manufacturing here?!  Hypocrisy'
939280851715555329,2017-12-08 23:49:40,b'@KellyannePolls This shit isn\xe2\x80\x99t real and you know it.  I think hope you get an illness and the treatment is made il\xe2\x80\xa6 https://t.co/HJoF3B8x3Z'
937944130449113088,2017-12-05 07:18:01,b'@SpeakerRyan @SenateMajorityL you are backing that child molester to push your agenda?!  Put your kids in his lap w\xe2\x80\xa6 https://t.co/rZUfkGRBbf'
937942927363284992,2017-12-05 07:13:14,b'@realDonaldTrump @IvankaTrump There\xe2\x80\x99s special place in hell for men who endorse child molesters for senate.  Have h\xe2\x80\xa6 https://t.co/QmgzN1svF4'
937929174697656320,2017-12-05 06:18:35,b'@realDonaldTrump Tough on all crimes EXCEPT CHILD MOLESTERS.  You should have him dress like Santa and have your grandkids sit in his lap!'
937928619459985408,2017-12-05 06:16:23,"b'@realDonaldTrump A child molester is a much better person for the job. Birds of a feather, takes one to know one...\xe2\x80\xa6 https://t.co/PDBqkOQvA8'"
932684254143643648,2017-11-20 18:57:09,b'@realDonaldTrump @POTUS don\xe2\x80\x99t throw stones when you live in a glass house. https://t.co/j6uYx2WPBc'
932680722984218624,2017-11-20 18:43:07,b'@TrumpDotDotDot @KReeves0310 @realDonaldTrump Hilarious!'
932680679547998209,2017-11-20 18:42:57,"b""RT @TrumpDotDotDot: @KReeves0310 @realDonaldTrump I hate to guess what THAT's made of... https://t.co/22P9K24mXB"""
932679740594446338,2017-11-20 18:39:13,b'@realDonaldTrump You\xe2\x80\x99re an ass. @IvankaTrump  how can you not be humiliated by your father?'
931593572465254400,2017-11-17 18:43:10,b'@IvankaTrump @SpeakerRyan @PressSec @realDonaldTrump https://t.co/m501sUVvs8'
931575269831229440,2017-11-17 17:30:26,b'RT @jennbaum724: @realDonaldTrump #grabthembythepussy #grabthembythepussy #grabthembythepussy #grabthembythepussy #grabthembythepussy #grab\xe2\x80\xa6'
931575158560698369,2017-11-17 17:30:00,b'@realDonaldTrump You admit to Grabbing Pussy!!  HYPOCRISY!!!!!! Just shut up \xf0\x9f\xa4\x90'
927585883263442944,2017-11-06 17:18:02,"b'It was a TERRORIST attack!!.  White, green, brown or blue.  A spade is a spade.'"
925017771481509888,2017-10-30 15:13:17,"b'@KellyannePolls @POTUS Because student debt is off the charts.  Try tax cuts for real things, not the one percent!  Smug bitch!'"
923417010964348928,2017-10-26 05:12:26,"b'@realDonaldTrump Slight of hand, while you release those with one hand, the other hand will be stabbing us in the back.  You suck!'"
921437031946895361,2017-10-20 18:04:42,"b'@realDonaldTrump You\xe2\x80\x99re a low life fear monger.  You use this as your weapon for power.  Pathetic, sad, very very sad.'"
921154088645009408,2017-10-19 23:20:23,b'@realDonaldTrump How do we pay for your wall?  Massive tax cuts for your friends won\xe2\x80\x99t doo that.'
920374237826768896,2017-10-17 19:41:32,"b'@TIME He\xe2\x80\x99s a few already, and failed, miserably.'"
920374012294787072,2017-10-17 19:40:38,b'@PressSec @AmbDermer @realDonaldTrump  https://t.co/oFs6hvZGVS'
920373941012545536,2017-10-17 19:40:21,b'@Bluehiresort @KellyannePolls @POTUS Why add to their misery.... don\xe2\x80\x99t call at this point.'
920373427319406592,2017-10-17 19:38:19,b'@KellyannePolls @POTUS  https://t.co/KoSNixb4wA'
920373108007084033,2017-10-17 19:37:03,b'tRumpsters.... jokes on you! https://t.co/zE1xBMyJWz'
920070787150757888,2017-10-16 23:35:44,b'RT @chrislhayes: I wish someone had asked the president if he could name the men who died in Niger.'
919995275153829889,2017-10-16 18:35:40,"b""RT @Stonekettle: Good\n\nNOW, try to imagine OTHER people feel the same way about THEIR kids\n\nAnd then try to imagine if those kids didn't ha\xe2\x80\xa6"""
919995141250617350,2017-10-16 18:35:09,b'@POTUS @realDonaldTrump you\xe2\x80\x99re such a sad little person.  Previous presidents most certainly DID call and contact m\xe2\x80\xa6 https://t.co/87UgHBQaxS'
919310126120517632,2017-10-14 21:13:08,"b'RT @tonyposnanski: Rumor has it that the President of the US Virgin Islands is a narcissistic, egotistical, uneducated bully who can\xe2\x80\x99t spel\xe2\x80\xa6'"
919309908121600001,2017-10-14 21:12:16,"b""RT @BetteMidler: Observing @realDonaldTrump's all consuming jealousy of Obama must be fascinating for mental health pros, but it's killing\xe2\x80\xa6"""
918957614335012864,2017-10-13 21:52:23,b'RT @BetteMidler: CNN says Russia used Pokemon Go to influence our election. Thanks to an imaginary little yellow monster we got an actual b\xe2\x80\xa6'
918935058727055360,2017-10-13 20:22:45,"b'RT @TeaPainUSA: Congratulations, Trumpers.  You still have Obamacare, but it will cost you 25% more thanks to the Great White Dope!  #Trump\xe2\x80\xa6'"
918909399816474624,2017-10-13 18:40:48,b'@realDonaldTrump @PressSec You are NOT God!'
918909171508043776,2017-10-13 18:39:53,b'@POTUS @realDonaldTrump this should be played when you enter a room.   https://t.co/T1XE8tO8ZW'
918908472493666309,2017-10-13 18:37:06,b'@POTUS @realDonaldTrump this is you Big Mouth     https://t.co/T1XE8tO8ZW'
918906990004277253,2017-10-13 18:31:13,b'@realDonaldTrump Just do your fucking job.  Enough with the fake news.  FOX used to go by the name \xe2\x80\x9cFox News and en\xe2\x80\xa6 https://t.co/c0yZXTnlIb'
918905930367959040,2017-10-13 18:27:00,b'@realDonaldTrump You are a false profit who is dragging us all off the clif!'
918905569582256128,2017-10-13 18:25:34,b'@vegasbabe13 @Wolfspirit_73 @NetworksManager @ImWatchingToo @realDonaldTrump If I\xe2\x80\x99m not sick why should I subsidize\xe2\x80\xa6 https://t.co/t71sQTrJWn'
918904830512340992,2017-10-13 18:22:38,b'@vegasbabe13 @Wolfspirit_73 @NetworksManager @ImWatchingToo @realDonaldTrump I do have one kid.  Because each one o\xe2\x80\xa6 https://t.co/9Q37rKsgEC'
917423891772874754,2017-10-09 16:17:55,"b'@realDonaldTrump Define success, it didn\xe2\x80\x99t get us into a war.  Money actually isn\xe2\x80\x99t everything.  What  financial va\xe2\x80\xa6 https://t.co/ZWgiEtUzfh'"
917227489499398149,2017-10-09 03:17:29,b'@cher Discarded foreskin...'
916509659736924160,2017-10-07 03:45:05,b'@FLOTUS @PressSec @WhiteHouse Lol.  Bait and switch?  Did your jackass husband use that to bring them for deportation?'
916439674284945409,2017-10-06 23:06:59,b'@KellyannePolls @POTUS I hope you\xe2\x80\x99re there for the Blood Moon.  Ha ha ha.   That would be awesome if American Horro\xe2\x80\xa6 https://t.co/5j8bjD69Ls'
916439359594696705,2017-10-06 23:05:44,b'@PressSec You boss and his tweets give me nightmares.   The lot of ya should get hell out of our house.'
916438961949523968,2017-10-06 23:04:09,"b'@KellyannePolls Can\xe2\x80\x99t blame the guy, your boss is a dick and the GOP are scumbags.'"
915998994580488192,2017-10-05 17:55:53,b'@realDonaldTrump If it\xe2\x80\x99s fake then stop worrying about it.  Do the job you were elected to do!'
915998735431229440,2017-10-05 17:54:51,b'@realDonaldTrump Bring your families production here.  Hypocrites!!'
915807299360268288,2017-10-05 05:14:09,"b'@realDonaldTrump @FLOTUS Their spirit\xe2\x80\x99s in your thoughts and prayers, Their blood is on your hands and the NRA mone\xe2\x80\xa6 https://t.co/gdLqcmNHlc'"
915806485967388679,2017-10-05 05:10:55,"b'@PressSec @POTUS Better keep a copy of your heartfelt thoughts and prayers, you\xe2\x80\x99ll need them for the next mass murd\xe2\x80\xa6 https://t.co/5Z56UZmQT7'"
915805716383809537,2017-10-05 05:07:52,"b'@Wolfspirit_73 @NetworksManager @ImWatchingToo @realDonaldTrump News flash, Each US baby born is a drain on taxpaye\xe2\x80\xa6 https://t.co/EHrDiVsoPY'"
915804197928411136,2017-10-05 05:01:50,b'@realDonaldTrump The only thing to do is shut the fuck up.'
915803911608401920,2017-10-05 05:00:41,b'If the GOP won\xe2\x80\x99t do something about assault weapons then they should at least give us health care.  We shouldn\xe2\x80\x99t need go fund me victims.'
