id,created_at,text
940099847243235328,2017-12-11 06:04:04,"b'@realDonaldTrump Few weeks back during interview, you didn\xe2\x80\x99t stand for the national anthem'"
940099573455888384,2017-12-11 06:02:59,b'@realDonaldTrump Campaigning for your buddy child molester Roy Moore'
940099306878464001,2017-12-11 06:01:55,b'@realDonaldTrump I trust CNN over Fox anyday of the week and twice on Sunday. You are the biggest Fraud to America'
940098829411524609,2017-12-11 06:00:01,b'@realDonaldTrump @daveweigel Like that time you Posted tons of FAKE issues of TIME magazine with you on the cover.\xe2\x80\xa6 https://t.co/m0CNfdy1T6'
940097416958636032,2017-12-11 05:54:25,b'@Evaroron @VP @SecondLady The biggest waste of tax dollars stem from Trumps weekend golf trips n campaigning for so\xe2\x80\xa6 https://t.co/T3S9SFBAUZ'
940095824192614400,2017-12-11 05:48:05,b'@realDonaldTrump @daveweigel @washingtonpost  https://t.co/z5czU8tBoP'
940094947486601217,2017-12-11 05:44:36,"b'@realDonaldTrump @daveweigel @washingtonpost You Love to offer exaggerate the crowd size at your KKK rally\xe2\x80\x98s, The p\xe2\x80\xa6 https://t.co/yYwGKH32e4'"
940094513753681920,2017-12-11 05:42:52,"b'@yenaaldlooskii @realDonaldTrump Don\xe2\x80\x99t forget the $157,000 in golfcart fees for the secret service to rent carts at\xe2\x80\xa6 https://t.co/IEV4KrTEYA'"
939908910680559621,2017-12-10 17:25:21,b'@realDonaldTrump Getting closer and closer to your indictment'
939703501839618050,2017-12-10 03:49:08,"b'@realDonaldTrump No woman should be forced to to have sex, but that never stopped you or Roy Moore'"
939681702309453824,2017-12-10 02:22:30,b'@comcast why you supporting the  pedophile Roy Moore? Disgusting'
939516032716361729,2017-12-09 15:24:12,"b'@Johnny89745278 @aymiejharris @EdKrassen @IRdotnet @realDonaldTrump Muller is busy getting ready to put trump away,\xe2\x80\xa6 https://t.co/AIMcjELdOR'"
939515330744999938,2017-12-09 15:21:24,b'@realDonaldTrump Wasting more taxpayer money flying around campaigning even though you won\xe2\x80\x99t win'
939254459611443200,2017-12-08 22:04:48,b'@jacksonryder36 @KellyannePolls Carrier is moving 1200 jobs to Mexico'
939254369933021189,2017-12-08 22:04:26,b'@jacksonryder36 @KellyannePolls He hasn\xe2\x80\x99t done anything! Ford is moving 2000 jobs to Mexico'
939253680196419584,2017-12-08 22:01:42,b'@KellyannePolls So then explain why Ford changed its plans to build in Michigan now going to Mexico. You guys are t\xe2\x80\xa6 https://t.co/H71w46WAWY'
938502267136888839,2017-12-06 20:15:51,"b'@realDonaldTrump Soon as your impeached, we can make America great again.'"
938280463516487685,2017-12-06 05:34:29,b'@EdKrassen Why doesn\xe2\x80\x99t he speak up about the shit stain #realDonaldTrump?'
938245341807284224,2017-12-06 03:14:55,b'@realDonaldTrump So u can spend more taxpayer dollars'
938115052451893248,2017-12-05 18:37:12,b'@realDonaldTrump Now all your friends can drill for oil and destroy the earth'
938040700284932098,2017-12-05 13:41:45,"b'@EdKrassen Odd that he\xe2\x80\x99s not on Twitter in 1d, you\xe2\x80\x99d think he\xe2\x80\x99d be ranting about Hillary to his supporters. Trying\xe2\x80\xa6 https://t.co/DddSO273cS'"
938039713520406528,2017-12-05 13:37:50,"b'@KellyannePolls Imagine if kelly wasn\xe2\x80\x99t allowed to talk tweet or appear on any media, what a beautiful thing that w\xe2\x80\xa6 https://t.co/ngRkmPAFqX'"
937772310471245824,2017-12-04 19:55:16,b'@44grace @WildChild69 @haldonahue @KudzuFrannie @realDonaldTrump @TuscaloosaDems @AUdebm @IndivisibleAL\xe2\x80\xa6 https://t.co/Mvf0xEDkli'
937771922556903429,2017-12-04 19:53:43,b'@44grace @haldonahue @KudzuFrannie @realDonaldTrump @TuscaloosaDems @AUdebm @IndivisibleAL @IndivisibleBHM\xe2\x80\xa6 https://t.co/dL9SPJqGiF'
