id,created_at,text
940244560327987200,2017-12-11 15:39:06,b'@CodeNamePizza Myth: Did Stalin do nothing wrong? https://t.co/K9pid07gvG'
940224696603340801,2017-12-11 14:20:10,"b'@GregoryWiker The Soviet Union did too. Under Lenin, it was legalized, but under *PIG CHILD* Stalin, in 1933, it was criminalized again.'"
940194931322351617,2017-12-11 12:21:54,b'RT @antoniodelotero: RT TO STAND WITH PALESTINE https://t.co/SyB75a9jpv'
940193738235793410,2017-12-11 12:17:09,"b""@M_l_a_r_k @SHYNUDISTGRRL @VoCommunism It doesn't matter what they call themselves. It matters what their policy is\xe2\x80\xa6 https://t.co/k9DQqWY6TS"""
940107982146117633,2017-12-11 06:36:23,b'@Don_Vito_08 @realDonaldTrump I only stand for MY anthem \xf0\x9f\x98\xa4 https://t.co/jExiiKejVY'
940107416586334208,2017-12-11 06:34:09,b'@tattoosandbones @MikeDeepwater @realDonaldTrump  https://t.co/qRHIeYo6gj'
940107081075404801,2017-12-11 06:32:49,"b""@realDonaldTrump If this is God... then I'm on board... https://t.co/alhxsXYyZy"""
940080760383447040,2017-12-11 04:48:13,b'Hey @sassygayrepub https://t.co/Kxv3FExlf8'
940079196910403584,2017-12-11 04:42:01,"b'@M_l_a_r_k @SHYNUDISTGRRL @VoCommunism Since the Deng Xiaoping era, Chinas been Heavily revisionist, and is practic\xe2\x80\xa6 https://t.co/it8YF7PEUg'"
940075521299189760,2017-12-11 04:27:24,"b""@Chaosxsilencer @TheRichest_Com I betcha $10 they'll remove my comment. https://t.co/UGUWA64I1d"""
940075327132332033,2017-12-11 04:26:38,"b""@CybrgNinjaMonky @Chaosxsilencer @TheRichest_Com Ain't nothing he posts is clickbait."""
939991744556367872,2017-12-10 22:54:30,b'@SWAuTistic #Yourefucked'
939903553002459136,2017-12-10 17:04:04,b'Yo @KEEMSTAR https://t.co/dmi4VDlhZv'
939675615774384128,2017-12-10 01:58:19,b'@Sorenova DO YOU DO POISON?!'
939675259963310080,2017-12-10 01:56:54,"b'RT @_RebeccaParham: I worked two weeks on the animation I did for YouTube Rewind. Unpaid. It pulled me away from my own projects. And now,\xe2\x80\xa6'"
939638267749847040,2017-12-09 23:29:55,b'RT @neonfiona: now he\xe2\x80\x99s making a list and he\xe2\x80\x99s checking it twice and he\xe2\x80\x99s gonna find out if you\xe2\x80\x99re naughty or nice. now they\xe2\x80\x99re going to be\xe2\x80\xa6'
939480613874266112,2017-12-09 13:03:27,"b'@LaterCapitalism Philip ""B*tch"" Braislford.'"
939479972774858753,2017-12-09 13:00:54,b'RT @JustinTrudeau: Big night for the Canadians behind @StudioMDHR at @thegameawards last night \xe2\x80\x93 congratulations on taking home Best Debut\xe2\x80\xa6'
939478376410157056,2017-12-09 12:54:34,b'@wavprncss @realDonaldTrump  https://t.co/IZMeuwMcUa'
939347571096596480,2017-12-09 04:14:47,"b'@viraky_balboa @CBCNews Also me @ how he thought they were ISIS, while speaking Spanish, and thinking they were FRE\xe2\x80\xa6 https://t.co/Hx6hUdHPNq'"
939286720297799680,2017-12-09 00:12:59,"b'Fortnites 50v50 mode is awful. Instead of doing important things like working on anticheat, they add a terrible mod\xe2\x80\xa6 https://t.co/RzQfA5YZ0k'"
