id,created_at,text
940406399443570688,2017-12-12 02:22:12,"b""@CNN It's a lot more complicated than you think."""
940385406616592385,2017-12-12 00:58:47,b'RT @BarackObama: Just got off a call to thank folks who are working hard to help more Americans across the country sign up for health cover\xe2\x80\xa6'
940215563674161153,2017-12-11 13:43:53,"b'RT @brianklaas: Before destroying the remnants of democracy in Turkey, Erdogan purged judges, fired prosecutors who were investigating him,\xe2\x80\xa6'"
940215132889722880,2017-12-11 13:42:10,b'Perfect https://t.co/nxz6hJGeuX'
940211915623673857,2017-12-11 13:29:23,"b'RT @jjmacnab: Roy Moore on a 2011 internet radio show run by a sovereign citizen group, the Aroostook Watchmen: Getting rid of amendments a\xe2\x80\xa6'"
940209984264114176,2017-12-11 13:21:43,"b'@CNN Another conspiracy theorist who wants to resurrect the myth of Obama\'s ""fake"" birth certificate while claiming\xe2\x80\xa6 https://t.co/I9XuFlYW4W'"
940070136504913920,2017-12-11 04:06:00,"b'@realDonaldTrump Packed to the rafters? So, press was not allowed in?'"
940060065205166082,2017-12-11 03:25:59,"b'@realDonaldTrump CNN must have hit some nerve this week, yes?'"
938390884005052416,2017-12-06 12:53:15,"b""RT @TIME: The Silence Breakers are TIME's Person of the Year 2017 #TIMEPOY https://t.co/mLgNTveY9z https://t.co/GBo9z57RVG"""
938245632787173376,2017-12-06 03:16:05,"b'RT @GeorgeTakei: Keep up the pressure, friends. Much more to do to defeat the #GOPTaxScam. Make those calls to your Senators at 202-224-312\xe2\x80\xa6'"
938239204093513728,2017-12-06 02:50:32,b'Just FYI. @realDonaldTrump \n\nhttps://t.co/LL9pJSo9E0'
938161004298539008,2017-12-05 21:39:48,b'@RVAwonk I thought that the CIA was prevented from working out with in the USA.'
938042117716312065,2017-12-05 13:47:23,"b'Those pesky middle class people, choosing to pay their bills, spending their money on food and clothing and shelter\xe2\x80\xa6 https://t.co/RV2v3n6pGy'"
