id,created_at,text
940356532109299712,2017-12-11 23:04:02,b'@realDonaldTrump You LOST today.  Winning will be difficult from here on out.  Get used to losing.  #TrumpIsALoser'
940269445611753473,2017-12-11 17:17:59,"b'@brady50818741 @realDonaldTrump @nytimes I think it could be fake - to encourage the GOP to get out and vote, and d\xe2\x80\xa6 https://t.co/gUmGc2ey1b'"
940268972523642880,2017-12-11 17:16:07,b'@realDonaldTrump @nytimes You should switch to caffeine-free Diet Coke - so you can remain calm while watching 8 ho\xe2\x80\xa6 https://t.co/JiDcOQ7hNu'
940268254282633216,2017-12-11 17:13:15,b'@realDonaldTrump @nytimes Liar.'
940268044026343426,2017-12-11 17:12:25,b'@realDonaldTrump @nytimes @FoxNews is simply your mouthpiece.  Same right-wing BS.  @seanhannity simply parrots wha\xe2\x80\xa6 https://t.co/XTXlaEoTEF'
940066660442021890,2017-12-11 03:52:12,b'@realDonaldTrump @USArmy @USNavy Colin Kaepernick Is Recipient of 2017 Sports Illustrated Muhammad Ali Legacy Award\xe2\x80\xa6 https://t.co/JpybvDFdGH'
940066575977144320,2017-12-11 03:51:51,b'@realDonaldTrump Colin Kaepernick Is Recipient of 2017 Sports Illustrated Muhammad Ali Legacy Award. Colin Kaeperni\xe2\x80\xa6 https://t.co/rV0iLvLlHi'
940066482712539136,2017-12-11 03:51:29,b'@realDonaldTrump Colin Kaepernick Is Recipient of 2017 Sports Illustrated Muhammad Ali Legacy Award. Colin Kaeperni\xe2\x80\xa6 https://t.co/vWO6AvVyG4'
940066399061286918,2017-12-11 03:51:09,b'@realDonaldTrump - Colin Kaepernick Is Recipient of 2017 Sports Illustrated Muhammad Ali Legacy Award. Colin Kaeper\xe2\x80\xa6 https://t.co/h73A6H1W7y'
939994697027727360,2017-12-10 23:06:14,b'@realDonaldTrump Biggest stain on America is you. Period.  My grandkids will read about your Presidency and wonder\xe2\x80\xa6 https://t.co/x1Y3Relb9O'
939970478936068096,2017-12-10 21:30:00,b'@realDonaldTrump You are a true disgrace with your propaganda against the media.  Nothing like it in the history of our great country.'
939969924625256448,2017-12-10 21:27:48,b'@realDonaldTrump from the King of Lies.'
