id,created_at,text
940082011166842880,2017-12-11 04:53:11,b'@realDonaldTrump Trumps the devil'
895456236816089088,2017-08-10 01:26:18,"b""@HappyinazLyn @TheFive @realDonaldTrump @POTUS @jessebwatters I'm sorry you feel that way but I have to young boys\xe2\x80\xa6 https://t.co/651PnduJqV"""
872823847128584192,2017-06-08 14:33:16,b'Beauty in your work space #orchid#plants#Beautiful#garden#green https://t.co/7ZW9K8TmD3'
849789118150094849,2017-04-06 01:01:28,b'#orchids are#beautiful \n#plants #greenlife #inspiration #interiordesign #interiorscape\xe2\x80\xa6 https://t.co/qCn5R3NbZ8'
847606710592090115,2017-03-31 00:29:22,b'#plants make your work or living space more welcoming #interiorscape #greenlife #indoorplants\xe2\x80\xa6 https://t.co/SlWzN2mOlQ'
838181257003462657,2017-03-05 00:15:58,b'Create a welcoming atmosphere with #plants #interiordesign #indoorplants #interiorscape https://t.co/2sTDDhV3T7'
832016182286774272,2017-02-15 23:58:10,b'Special event at University of Miami\n#plants #flowers #interiorscape #creations #miami https://t.co/DsJDnPFU9T'
831663237435383812,2017-02-15 00:35:42,"b""#orchids # with love # Happy Valentine's \n#enjoy #designwithplants #liveyourlife #plants #holiday https://t.co/7EyeEA41BT"""
831661982214393856,2017-02-15 00:30:42,"b""Happy Valentine's \xf0\x9f\x92\x96\n#roses#flowers #enjoy #holiday#love https://t.co/qKqjtMqe5x"""
828810242788040706,2017-02-07 03:38:55,b'Enjoy the month of love \xe2\x9d\xa4\n#succulents #indoorplants #nature #creations #inspiration #miami https://t.co/FRElj3LKFu'
828324004691861505,2017-02-05 19:26:46,b'#plants #succulents #interiorscape #creations #designwithplants #miami https://t.co/Fxq1RBpTCj'
828105787692183553,2017-02-05 04:59:39,b'#plants #succulents #indoorplants #livingwall #creations #interiorscape https://t.co/HPfPqSqbu6'
827892719431380992,2017-02-04 14:53:00,b'Relaxation. ..\n#plants #greenlife #inspiration #miami #creations #landscape https://t.co/4PnrfoQWjY'
